Hugo_Symbol	Chromosome	arm
IGKV2D-29	2p11.2	2p
IGKV2D-30	2p11.2	2p
IGKV2D-36	2p11.2	2p
IGKV2D-38	2p11.2	2p
IGKV2D-40	2p11.2	2p
IGKV2OR2-1	2q11.2	2q
IGKV2OR2-1A	2pter-qter	2p
IGKV2OR2-2	2q11.2	2q
IGKV2OR2-4	2q11.2	2q
IGKV2OR2-7	2q11.2	2q
IGKV2OR2-7D	2q11.2	2q
IGKV2OR2-8	2q11.2	2q
IGKV2OR2-10	2q11.2	2q
IGKV2OR22-3	22q11.1	22q
IGKV2OR22-4	22q11.1	22q
IGKV3-7	2p11.2	2p
IGKV3-11	2p11.2	2p
IGKV3-15	2p11.2	2p
IGKV3-20	2p11.2	2p
IGKV3-25	2p11.2	2p
IGKV3-31	2p11.2	2p
IGKV3-34	2p11.2	2p
IGKV3D-7	2p11.2	2p
IGKV3D-11	2p11.2	2p
IGKV3D-15	2p11.2	2p
IGKV3D-20	2p11.2	2p
IGKV3D-25	2p11.2	2p
IGKV3D-31	2p11.2	2p
IGKV3D-34	2p11.2	2p
IGKV3OR2-5	2q11.2	2q
IGKV3OR2-268	2p12	2p
IGKV3OR2-268A	2p11.2	2p
IGKV3OR22-2	22q11.1	22q
IGKV4-1	2p11.2	2p
IGKV5-2	2p11.2	2p
IGKV6-21	2p11.2	2p
IGKV6D-21	2p11.2	2p
IGKV6D-41	2p11.2	2p
IGKV7-3	2p11.2	2p
IGKVOR2@	2cen-q11	2cen-q
IGL	22q11.2	22q
IGLC@	22q11.2	22q
IGLC1	22q11.22	22q
IGLC2	22q11.22	22q
IGLC3	22q11.22	22q
IGLC4	22q11.22	22q
IGLC5	22q11.22	22q
IGLC6	22q11.22	22q
IGLC7	22q11.22	22q
IGLCOR22-1	22q12.2-q12.3	22q
IGLCOR22-2	22q12.2-q12.3	22q
IGLJ@	22q11.2	22q
IGLJ1	22q11.22	22q
IGLJ2	22q11.22	22q
IGLJ3	22q11.22	22q
IGLJ4	22q11.22	22q
IGLJ5	22q11.22	22q
IGLJ6	22q11.22	22q
IGLJ7	22q11.22	22q
IGLJCOR18	18p11.31	18p
IGLL1	22q11.23	22q
IGLL2P	22q11.23	22q
IGLL3P	22q11.23	22q
IGLL4P	22q11.21	22q
IGLL5	22q11.22	22q
IGLON5	19q13.41	19q
IGLP1	6p21.3	6p
IGLP2	6p21.3	6p
IGLV@	22q11.2	22q
IGLV1-36	22q11.22	22q
IGLV1-40	22q11.22	22q
IGLV1-41	22q11.22	22q
IGLV1-44	22q11.22	22q
IGLV1-47	22q11.22	22q
IGLV1-50	22q11.22	22q
IGLV1-51	22q11.22	22q
IGLV1-62	22q11.22	22q
IGLV2-5	22q11.22	22q
IGLV2-8	22q11.22	22q
IGLV2-11	22q11.22	22q
IGLV2-14	22q11.22	22q
IGLV2-18	22q11.22	22q
IGLV2-23	22q11.22	22q
IGLV2-28	22q11.22	22q
IGLV2-33	22q11.22	22q
IGLV2-34	22q11.22	22q
IGLV3-1	22q11.22	22q
IGLV3-2	22q11.22	22q
IGLV3-4	22q11.22	22q
IGLV3-6	22q11.22	22q
IGLV3-7	22q11.22	22q
IGLV3-9	22q11.22	22q
IGLV3-10	22q11.22	22q
IGLV3-12	22q11.22	22q
IGLV3-13	22q11.22	22q
IGLV3-15	22q11.22	22q
IGLV3-16	22q11.22	22q
IGLV3-17	22q11.22	22q
IGLV3-19	22q11.22	22q
IGLV3-21	22q11.22	22q
IGLV3-22	22q11.22	22q
IGLV3-24	22q11.22	22q
IGLV3-25	22q11.22	22q
IGLV3-26	22q11.22	22q
IGLV3-27	22q11.22	22q
IGLV3-29	22q11.22	22q
IGLV3-30	22q11.22	22q
IGLV3-31	22q11.22	22q
IGLV3-32	22q11.22	22q
IGLV4-3	22q11.22	22q
IGLV4-60	22q11.22	22q
IGLV4-69	22q11.22	22q
IGLV5-37	22q11.22	22q
IGLV5-39	22q11.2 alternate reference locus	22q
IGLV5-45	22q11.22	22q
IGLV5-48	22q11.22	22q
IGLV5-52	22q11.22	22q
IGLV6-57	22q11.22	22q
IGLV7-35	22q11.22	22q
IGLV7-43	22q11.22	22q
IGLV7-46	22q11.22	22q
IGLV8-61	22q11.22	22q
IGLV8OR8-1	8q11.21	8q
IGLV9-49	22q11.22	22q
IGLV10-54	22q11.22	22q
IGLV10-67	22q11.22	22q
IGLV11-55	22q11.22	22q
IGLVI-20	22q11.22	22q
IGLVI-38	22q11.22	22q
IGLVI-42	22q11.22	22q
IGLVI-56	22q11.22	22q
IGLVI-63	22q11.22	22q
IGLVI-68	22q11.22	22q
IGLVI-70	22q11.22	22q
IGLVIV-53	22q11.22	22q
IGLVIV-59	22q11.22	22q
IGLVIV-64	22q11.22	22q
IGLVIV-65	22q11.22	22q
IGLVIV-66-1	22q11.22	22q
IGLVIVOR22-1	22q11.2-q12.1	22q
IGLVIVOR22-2	22q12.2-q12.3	22q
IGLVV-58	22q11.22	22q
IGLVV-66	22q11.22	22q
IGLVVI-22-1	22q11.22	22q
IGLVVI-25-1	22q11.22	22q
IGLVVII-41-1	22q11.22	22q
IGSF3	1p13.1	1p
IGSF5	21q22.2	21q
IGSF6	16p12.2	16p
IGSF8	1q23.2	1q
IGSF9	1q23.2	1q
IGSF9B	11q25	11q
IGSF10	3q25.1	3q
IGSF11	3q13.32	3q
IGSF11-AS1	3q13.32	3q
IGSF21	1p36.13	1p
IGSF21-AS1	1p36.13	1p
IGSF22	11p15.1	11p
IGSF23	19q13.31	19q
IHH	2q35	2q
IHO1	3p21.31	3p
II	6pter	6p
IK	5q31.3	5q
IKBIP	12q23.1	12q
IKBKAP-IT1	9q31.3	9q
IKBKB	8p11.21	8p
IKBKE	1q32.1	1q
IKZF1	7p12.2	7p
IKZF2	2q34	2q
IKZF3	17q12-q21.1	17q
IKZF4	12q13.2	12q
IKZF5	10q26.13	10q
IL1A	2q14.1	2q
IL1B	2q14.1	2q
IL1F10	2q14.1	2q
IL1R1	2q11.2-q12.1	2q
IL1R1-AS1	2q12.1	2q
IL1R2	2q11.2	2q
IL1RAP	3q28	3q
IL1RL1	2q12.1	2q
IL1RL2	2q12.1	2q
IL1RN	2q14.1	2q
IL2	4q27	4q
IL2RA	10p15.1	10p
IL2RB	22q12.3	22q
IL3	5q31.1	5q
IL4	5q31.1	5q
IL4I1	19q13.33	19q
IL4R	16p12.1	16p
IL5	5q31.1	5q
IL5RA	3p26.2	3p
IL6	7p15.3	7p
IL6-AS1	7p15.3	7p
IL6R	1q21.3	1q
IL6R-AS1	1q21.3	1q
IL6RP1	9q22.2	9q
IL6ST	5q11.2	5q
IL6STP1	17p12	17p
IL7	8q21.13	8q
IL7R	5p13.2	5p
IL9	5q31.1	5q
IL9RP1	9q34.3	9q
IL9RP2	10p15.3	10p
IL9RP3	16p13.3	16p
IL9RP4	18p11.32	18p
IL10	1q32.1	1q
IL10RA	11q23.3	11q
IL10RB	21q22.11	21q
IL10RB-DT	21q22.11	21q
IL11	19q13.42	19q
IL11RA	9p13.3	9p
IL12A	3q25.33	3q
IL12A-AS1	3q25.33	3q
IL12B	5q33.3	5q
IL12RB1	19p13.11	19p
IL12RB2	1p31.3	1p
IL13	5q31.1	5q
IL15	4q31.21	4q
IL15RA	10p15.1	10p
IL16	15q25.1	15q
IL17A	6p12.2	6p
IL17B	5q32	5q
IL17C	16q24.2	16q
IL17D	13q12.11	13q
IL17F	6p12.2	6p
IL17RA	22q11.1	22q
IL17RB	3p21.1	3p
IL17RC	3p25.3	3p
IL17RD	3p14.3	3p
IL17RE	3p25.3	3p
IL17REL	22q13.33	22q
IL18	11q23.1	11q
IL18BP	11q13.4	11q
IL18R1	2q12.1	2q
IL18RAP	2q12.1	2q
IL19	1q32.1	1q
IL20	1q32.1	1q
IL20RA	6q23.3	6q
IL20RB	3q22.3	3q
IL20RB-AS1	3q22.3	3q
IL21	4q27	4q
IL21-AS1	4q27	4q
IL21R	16p12.1	16p
IL21R-AS1	16p12.1	16p
IL22	12q15	12q
IL22RA1	1p36.11	1p
IL22RA2	6q23.3	6q
IL23A	12q13.3	12q
IL23R	1p31.3	1p
IL24	1q32.1	1q
IL25	14q11.2	14q
IL26	12q15	12q
IL27	16p12.1-p11.2	16p
IL27RA	19p13.12	19p
IL31	12q24.31	12q
IL31RA	5q11.2	5q
IL32	16p13.3	16p
IL33	9p24.1	9p
IL34	16q22.1	16q
IL36A	2q14.1	2q
IL36B	2q14.1	2q
IL36G	2q14.1	2q
IL36RN	2q14.1	2q
IL37	2q14.1	2q
ILDR1	3q13.33	3q
ILDR2	1q24.1	1q
ILF2	1q21.3	1q
ILF2P1	3p14.1	3p
ILF2P2	14q13.2	14q
ILF3	19p13.2	19p
ILF3-DT	19p13.2	19p
ILK	11p15.4	11p
ILKAP	2q37.3	2q
ILRUN	6p21.31	6p
ILRUNP1	2q12.2	2q
ILVBL	19p13.12	19p
IMMP1L	11p13	11p
IMMP1LP1	11q13.1	11q
IMMP1LP2	12q24.13	12q
IMMP1LP3	7p22.3	7p
IMMP2L	7q31.1	7q
IMMP2L-IT1	7q31.1	7q
IMMT	2p11.2	2p
IMMTP1	21q22.3	21q
IMP3	15q24.2	15q
IMP3P1	9p23	9p
IMP3P2	7q32.1	7q
IMP4	2q21.1	2q
IMPA1	8q21.13	8q
IMPA1P1	8q21.13	8q
IMPA2	18p11.21	18p
IMPACT	18q11.2	18q
IMPDH1	7q32.1	7q
IMPDH1P1	9p13.3	9p
IMPDH1P3	7q33	7q
IMPDH1P5	10q22.3	10q
IMPDH1P6	8q24.13	8q
IMPDH1P7	2q32.1	2q
IMPDH1P8	3p25.1	3p
IMPDH1P9	6p22.3	6p
IMPDH1P10	2q33.1	2q
IMPDH1P11	16p13.2	16p
IMPDH2	3p21.31	3p
IMPG1	6q14.1	6q
IMPG2	3q12.3	3q
INA	10q24.33	10q
INAFM1	19q13.32	19q
INAFM2	15q15.1	15q
INAVA	1q32.1	1q
INCA1	17p13.2	17p
INCENP	11q12.3	11q
INF2	14q32.33	14q
ING1	13q34	13q
ING2	4q35.1	4q
ING3	7q31.31	7q
ING4	12p13.31	12p
ING5	2q37.3	2q
INHA	2q35	2q
INHBA	7p14.1	7p
INHBA-AS1	7p14.1	7p
INHBB	2q14.2	2q
INHBC	12q13.3	12q
INHBE	12q13.3	12q
INHCAP	3q22.1	3q
INIP	9q32	9q
INKA1	3p21.31	3p
INKA2	1p13.2	1p
INKA2-AS1	1p13.2	1p
INMT	7p14.3	7p
INMT-MINDY4	7p14.3	7p
INO80	15q15.1	15q
INO80-AS1	15q15.1	15q
INO80B	2p13.1	2p
INO80B-WBP1	2p13.1	2p
INO80C	18q12.2	18q
INO80D	2q33.3	2q
INO80E	16p11.2	16p
INPP1	2q32.2	2q
INPP4A	2q11.2	2q
INPP4B	4q31.21	4q
INPP5A	10q26.3	10q
INPP5B	1p34.3	1p
INPP5D	2q37.1	2q
INPP5E	9q34.3	9q
INPP5F	10q26.11	10q
INPP5J	22q12.2	22q
INPP5K	17p13.3	17p
INPPL1	11q13.4	11q
INS	11p15.5	11p
INS-IGF2	11p15.5	11p
INSC	11p15.2	11p
INSIG1	7q36.3	7q
INSIG2	2q14.1-q14.2	2q
INSL3	19p13.11	19p
INSL4	9p24.1	9p
INSL5	1p31.3	1p
INSL6	9p24.1	9p
INSM1	20p11.23	20p
INSM2	14q13.2	14q
INSR	19p13.2	19p
INSRL	7p13-q22	7p
INSRR	1q23.1	1q
INSSA2	10q25.3	10q
INSYN1	15q24.1	15q
INSYN1-AS1	15q24.1	15q
INSYN2A	10q26.2	10q
INSYN2B	5q35.1	5q
INTS1	7p22.3	7p
INTS2	17q23.2	17q
INTS3	1q21.3	1q
INTS4	11q14.1	11q
INTS4P1	7q11.21	7q
INTS4P2	7q11.21	7q
INTS5	11q12.3	11q
INTS6	13q14.3	13q
INTS6-AS1	13q14.3	13q
INTS6P1	5p13.1	5p
INTS7	1q32.3	1q
INTS8	8q22.1	8q
INTS9	8p21.1	8p
INTS9-AS1	8p21.1	8p
INTS10	8p21.3	8p
INTS11	1p36.33	1p
INTS12	4q24	4q
INTS13	12p11.23	12p
INTS14	15q22.31	15q
INTU	4q28.1	4q
INVS	9q31.1	9q
IOSCA	10q23.3-q24.1	10q
IP6K1	3p21.31	3p
IP6K2	3p21.31	3p
IP6K3	6p21.31	6p
IPCEF1	6q25.2	6q
IPMK	10q21.1	10q
IPMKP1	13q12.12	13q
IPO4	14q12	14q
IPO5	13q32.2	13q
IPO5P1	19p12	19p
IPO7	11p15.4	11p
IPO7P2	13q12.12	13q
IPO8	12p11.21	12p
IPO8P1	1q32.2	1q
IPO9	1q32.1	1q
IPO9-AS1	1q32.1	1q
IPO11	5q12.1	5q
IPO13	1p34.1	1p
IPP	1p34.1	1p
IPPK	9q22.31	9q
IPPKP1	13q12.11	13q
IPW	15q11.2	15q
IQANK1	8q24.3	8q
IQCA1	2q37.2-q37.3	2q
IQCA1-AS1	2q37	2q
IQCA1L	7q36.1	7q
IQCB1	3q13.33	3q
IQCB2P	6p22.1	6p
IQCC	1p35.2	1p
IQCD	12q24.13	12q
IQCE	7p22.3	7p
IQCF1	3p21.2	3p
IQCF2	3p21.2	3p
IQCF3	3p21.2	3p
IQCF4P	3p21.2	3p
IQCF5	3p21.2	3p
IQCF5-AS1	3p21.2	3p
IQCF6	3p21.2	3p
IQCG	3q29	3q
IQCH	15q23	15q
IQCH-AS1	15q23	15q
IQCJ	3q25.32	3q
IQCJ-SCHIP1	3q25.32-q25.33	3q
IQCJ-SCHIP1-AS1	3q25.33	3q
IQCK	16p12.3	16p
IQCM	4q31.23	4q
IQCN	19p13.11	19p
IQGAP1	15q26.1	15q
IQGAP2	5q13.3	5q
IQGAP3	1q22	1q
IQSEC1	3p25.2	3p
IQSEC3	12p13.33	12p
IQSEC3P1	12p13.33	12p
IQSEC3P2	12p13.2	12p
IQSEC3P3	20q13.33	20q
IQUB	7q31.32	7q
IRAG1	11p15.4	11p
IRAG1-AS1	11p15.4	11p
IRAG2	12p12.1	12p
IRAIN	15q26.3	15q
IRAK1BP1	6q14.1	6q
IRAK2	3p25.3	3p
IRAK3	12q14.3	12q
IRAK4	12q12	12q
IREB2	15q25.1	15q
IRF1	5q31.1	5q
IRF1-AS1	5q31.1	5q
IRF2	4q35.1	4q
IRF2-DT	4q35.1	4q
IRF2BP1	19q13.32	19q
IRF2BP2	1q42.3	1q
IRF2BPL	14q24.3	14q
IRF3	19q13.33	19q
IRF4	6p25.3	6p
IRF5	7q32.1	7q
IRF5P1	8q22.1	8q
IRF6	1q32.2	1q
IRF7	11p15.5	11p
IRF8	16q24.1	16q
IRF9	14q12	14q
IRGC	19q13.31	19q
IRGM	5q33.1	5q
IRGQ	19q13.31	19q
IRID2	4q25	4q
IRS1	2q36.3	2q
IRS2	13q34	13q
IRS3P	7q22.1	7q
IRX1	5p15.33	5p
IRX1P1	13q12.12	13q
IRX2	5p15.33	5p
IRX3	16q12.2	16q
IRX4	5p15.33	5p
IRX4-AS1	5p15.33	5p
IRX4P1	18p11.22	18p
IRX5	16q12.2	16q
IRX6	16q12.2	16q
ISCA1	9q21.33	9q
ISCA1P1	5q12.1	5q
ISCA1P2	1q42.13	1q
ISCA1P3	17q22	17q
ISCA1P4	15q15.1	15q
ISCA1P5	19p13.11	19p
ISCA1P6	2q14.3	2q
ISCA2	14q24.3	14q
ISCA2P1	22q12.1	22q
ISCU	12q23.3	12q
ISCUP1	1q24.2	1q
ISG15	1p36.33	1p
ISG20	15q26.1	15q
ISG20L2	1q23.1	1q
ISL1	5q11.1	5q
ISL2	15q24.3	15q
ISLR	15q24.1	15q
ISLR2	15q24.1	15q
ISM1	20p12.1	20p
ISM1-AS1	20p12.1	20p
ISM2	14q24.3	14q
ISOC1	5q23.3	5q
ISOC2	19q13.42	19q
IST1	16q22.2	16q
ISX	22q12.3	22q
ISY1	3q21.3	3q
ISY1-RAB43	3q21.3	3q
ISYNA1	19p13.11	19p
ITCH	20q11.22	20q
ITCH-AS1	20q11.22	20q
ITCH-IT1	20q11.22	20q
ITFG1	16q12.1	16q
ITFG1-AS1	16q12.1	16q
ITFG2	12p13.33	12p
ITFG2-AS1	12p13.33	12p
ITGA1	5q11.2	5q
ITGA2	5q11.2	5q
ITGA2B	17q21.31	17q
ITGA3	17q21.33	17q
ITGA4	2q31.3	2q
ITGA5	12q13.13	12q
ITGA6	2q31.1	2q
ITGA6-AS1	2q31.1	2q
ITGA7	12q13.2	12q
ITGA8	10p13	10p
ITGA9	3p22.2	3p
ITGA9-AS1	3p22.2	3p
ITGA10	1q21.1	1q
ITGA11	15q23	15q
ITGAD	16p11.2	16p
ITGAE	17p13.2	17p
ITGAL	16p11.2	16p
ITGAM	16p11.2	16p
ITGAV	2q32.1	2q
ITGAX	16p11.2	16p
ITGB1	10p11.22	10p
ITGB1-DT	10p11.22	10p
ITGB1BP1	2p25.1	2p
ITGB1P1	19p13.12	19p
ITGB2	21q22.3	21q
ITGB2-AS1	21q22.3	21q
ITGB3	17q21.32	17q
ITGB3BP	1p31.3	1p
ITGB4	17q25.1	17q
ITGB5	3q21.2	3q
ITGB5-AS1	3q21.2	3q
ITGB6	2q24.2	2q
ITGB7	12q13.13	12q
ITGB8	7p21.1	7p
ITGBL1	13q33.1	13q
ITIH1	3p21.1	3p
ITIH2	10p14	10p
ITIH2-AS1	10p14	10p
ITIH3	3p21.1	3p
ITIH4	3p21.1	3p
ITIH4-AS1	3p21.1	3p
ITIH5	10p14	10p
ITK	5q33.3	5q
ITLN1	1q23.3	1q
ITLN2	1q23.3	1q
ITM2B	13q14.2	13q
ITM2BP1	17q11.2	17q
ITM2C	2q37.1	2q
ITPA	20p13	20p
ITPK1	14q32.12	14q
ITPK1-AS1	14q32.12	14q
ITPKA	15q15.1	15q
ITPKB	1q42.12	1q
ITPKB-AS1	1q42.12	1q
ITPKB-IT1	1q42.12	1q
ITPKC	19q13.2	19q
ITPR1	3p26.1	3p
ITPR1-DT	3p26.1	3p
ITPR2	12p11.23	12p
ITPR3	6p21.31	6p
ITPRID1	7p14.3	7p
ITPRID2	2q31.3	2q
ITPRIP	10q25.1	10q
ITPRIP-AS1	10q25.1	10q
ITPRIPL1	2q11.2	2q
ITPRIPL2	16p12.3	16p
ITSN1	21q22.11	21q
ITSN2	2p23.3	2p
IV	14q32	14q
IVD	15q15.1	15q
IVL	1q21.3	1q
IVNS1ABP	1q25.3	1q
IWS1	2q14.3	2q
IYD	6q25.1	6q
IZUMO1	19q13.33	19q
IZUMO1R	11q21	11q
IZUMO2	19q13.33	19q
IZUMO3	9p21.3	9p
IZUMO4	19p13.3	19p
JADE1	4q28.2	4q
JADE2	5q31.1	5q
JADRR	4q28.2	4q
JAG1	20p12.2	20p
JAG2	14q32.33	14q
JAGN1	3p25.3	3p
JAK1	1p31.3	1p
JAK2	9p24.1	9p
JAK3	19p13.11	19p
JAKMIP1	4p16.1	4p
JAKMIP2	5q32	5q
JAKMIP2-AS1	5q32	5q
JAKMIP3	10q26.3	10q
JAM2	21q21.3	21q
JAM3	11q25	11q
JAML	11q23.3	11q
JARID2	6p22.3	6p
JARID2-AS1	6p22.3	6p
JAZF1	7p15.2-p15.1	7p
JAZF1-AS1	7p15.1	7p
JBS	11q24.1	11q
JBTS1	9q34.3	9q
JCAD	10p11.23	10p
JCADP1	21q22.2	21q
JCHAIN	4q13.3	4q
JCHAINP1	8q21.2	8q
JDP2	14q24.3	14q
JHY	11q24.1	11q
JKAMP	14q23.1	14q
JKAMPP1	9p23	9p
JMJD1C	10q21.3	10q
JMJD1C-AS1	10q21.3	10q
JMJD4	1q42.13	1q
JMJD6	17q25.1	17q
JMJD7	15q15.1	15q
JMJD7-PLA2G4B	15q15.1	15q
JMJD8	16p13.3	16p
JMY	5q14.1	5q
JOSD1	22q13.1	22q
JOSD2	19q13.33	19q
JPH1	8q21.11	8q
JPH2	20q13.12	20q
JPH3	16q24.2	16q
JPH4	14q11.2	14q
JPT1	17q25.1	17q
JPT1P1	2q31.1	2q
JPT2	16p13.3	16p
JRK	8q24.3	8q
JRKL	11q21	11q
JRKL-AS1	11q21	11q
JSRP1	19p13.3	19p
JTB	1q21.3	1q
JTBP1	22q13.2	22q
JTK5A	3q22.1	3q
JTK5B	17p13.2	17p
JUN	1p32.1	1p
JUNB	19p13.13	19p
JUND	19p13.11	19p
JUP	17q21.2	17q
KAAG1	6p22.3	6p
KALRN	3q21.1-q21.2	3q
KANK1	9p24.3	9p
KANK1P1	20p12.3	20p
KANK2	19p13.2	19p
KANK3	19p13.2	19p
KANK4	1p31.3	1p
KANSL1	17q21.31	17q
KANSL1-AS1	17q21.31	17q
KANSL1L	2q34	2q
KANSL1L-AS1	2q34	2q
KANSL2	12q13.11	12q
KANSL3	2q11.2	2q
KARS1	16q23.1	16q
KARS1P1	13q14.11	13q
KARS1P2	13q34	13q
KARS1P3	16q22.1	16q
KASH5	19q13.33	19q
KAT2A	17q21.2	17q
KAT2B	3p24.3	3p
KAT5	11q13.1	11q
KAT6A	8p11.21	8p
KAT6B	10q22.2	10q
KAT7	17q21.33	17q
KAT8	16p11.2	16p
KAT14	20p11.23	20p
KATNA1	6q25.1	6q
KATNAL1	13q12.3	13q
KATNAL2	18q21.1	18q
KATNB1	16q21	16q
KATNBL1	15q14	15q
KATNBL1P1	13q12.2	13q
KATNBL1P2	1p21.3	1p
KATNBL1P3	18p11.32	18p
KATNBL1P4	5q11.2	5q
KATNBL1P5	6p22.2	6p
KATNBL1P6	6q24.3	6q
KATNIP	16p12.1	16p
KAZALD1	10q24.31	10q
KAZN	1p36.21	1p
KAZN-AS1	1p36.21	1p
KBTBD2	7p14.3	7p
KBTBD3	11q22.3	11q
KBTBD4	11p11.2	11p
KBTBD6	13q14.11	13q
KBTBD7	13q14.11	13q
KBTBD8	3p14.1	3p
KBTBD11	8p23.3	8p
KBTBD11-OT1	8p23.3	8p
KBTBD12	3q21.3	3q
KBTBD13	15q22.31	15q
KCMF1	2p11.2	2p
KCNA1	12p13.32	12p
KCNA2	1p13.3	1p
KCNA3	1p13.3	1p
KCNA4	11p14.1	11p
KCNA4L	11q14	11q
KCNA5	12p13.32	12p
KCNA6	12p13.32	12p
KCNA7	19q13.33	19q
KCNA10	1p13.3	1p
KCNAB1	3q25.31	3q
KCNAB1-AS1	3q25.31	3q
KCNAB1-AS2	3q25.31	3q
KCNAB2	1p36.31	1p
KCNAB3	17p13.1	17p
KCNB1	20q13.13	20q
KCNB2	8q21.11	8q
KCNC1	11p15.1	11p
KCNC2	12q21.1	12q
KCNC3	19q13.33	19q
KCNC4	1p13.3	1p
KCND2	7q31.31	7q
KCND3	1p13.2	1p
KCND3-AS1	1p13.2	1p
KCND3-IT1	1p13.2	1p
KCNE1	21q22.12	21q
KCNE1B	21p11.2	21p
KCNE2	21q22.11	21q
KCNE3	11q13.4	11q
KCNE4	2q36.1	2q
KCNF1	2p25.1	2p
KCNG1	20q13.13	20q
KCNG2	18q23	18q
KCNG3	2p21	2p
KCNG4	16q24.1	16q
KCNH1	1q32.2	1q
KCNH1-IT1	1q32.2	1q
KCNH2	7q36.1	7q
KCNH3	12q13.12	12q
KCNH4	17q21.2	17q
KCNH5	14q23.2	14q
KCNH6	17q23.3	17q
KCNH7	2q24.2	2q
KCNH7-AS1	2q24.2	2q
KCNH8	3p24.3	3p
KCNIP1	5q35.1	5q
KCNIP1-AS1	5q35.1	5q
KCNIP1-OT1	5q35.1	5q
KCNIP2	10q24.32	10q
KCNIP2-AS1	10q24.32	10q
KCNIP3	2q11.1	2q
KCNIP4	4p15.31-p15.2	4p
KCNIP4-IT1	4p15.2	4p
KCNJ1	11q24.3	11q
KCNJ2	17q24.3	17q
KCNJ2-AS1	17q24.3	17q
KCNJ3	2q24.1	2q
KCNJ4	22q13.1	22q
KCNJ5	11q24.3	11q
KCNJ6	21q22.13	21q
KCNJ6-AS1	21q22.13	21q
KCNJ8	12p12.1	12p
KCNJ9	1q23.2	1q
KCNJ10	1q23.2	1q
KCNJ11	11p15.1	11p
KCNJ12	17p11.2	17p
KCNJ13	2q37.1	2q
KCNJ14	19q13.33	19q
KCNJ15	21q22.13-q22.2	21q
KCNJ16	17q24.3	17q
KCNJ18	17p11.2	17p
KCNJN1	17p11.2-p11.1	17p
KCNK1	1q42.2	1q
KCNK2	1q41	1q
KCNK3	2p23.3	2p
KCNK4	11q13.1	11q
KCNK5	6p21.2	6p
KCNK6	19q13.2	19q
KCNK7	11q13.1	11q
KCNK9	8q24.3	8q
KCNK10	14q31.3	14q
KCNK12	2p16.3	2p
KCNK13	14q32.11	14q
KCNK15	20q13.12	20q
KCNK15-AS1	20q13.12	20q
KCNK16	6p21.2	6p
KCNK17	6p21.2	6p
KCNK18	10q25.3	10q
KCNMA1	10q22.3	10q
KCNMA1-AS1	10q22.3	10q
KCNMA1-AS2	10q22.3	10q
KCNMA1-AS3	10q22.3	10q
KCNMB1	5q35.1	5q
KCNMB2	3q26.32	3q
KCNMB2-AS1	3q26.32	3q
KCNMB3	3q26.32	3q
KCNMB3P1	22q11.1	22q
KCNMB4	12q15	12q
KCNN1	19p13.11	19p
KCNN2	5q22.3	5q
KCNN3	1q21.3	1q
KCNN4	19q13.31	19q
KCNQ1	11p15.5-p15.4	11p
KCNQ1-AS1	11p15.4	11p
KCNQ1DN	11p15.4	11p
KCNQ1OT1	11p15.5	11p
KCNQ2	20q13.33	20q
KCNQ2-AS1	20q13.33	20q
KCNQ3	8q24.22	8q
KCNQ4	1p34.2	1p
KCNQ5	6q13	6q
KCNQ5-AS1	6q13	6q
KCNQ5-AS2	6q13	6q
KCNQ5-IT1	6q13	6q
KCNRG	13q14.2	13q
KCNS1	20q13.12	20q
KCNS2	8q22.2	8q
KCNS3	2p24.2	2p
KCNT1	9q34.3	9q
KCNT2	1q31.3	1q
KCNU1	8p11.23	8p
KCNV1	8q23.2	8q
KCNV2	9p24.2	9p
KCP	7q32.1	7q
KCS	1q42-q43	1q
KCTD1	18q11.2	18q
KCTD2	17q25.1	17q
KCTD3	1q41	1q
KCTD4	13q14.12-q14.13	13q
KCTD5	16p13.3	16p
KCTD5P1	2q37.3	2q
KCTD6	3p14.3	3p
KCTD7	7q11.21	7q
KCTD8	4p13	4p
KCTD9	8p21.2	8p
KCTD9P1	17p11.2	17p
KCTD9P3	9p13.2	9p
KCTD9P4	11q23.1	11q
KCTD9P5	5p13.2	5p
KCTD9P6	8p12	8p
KCTD10	12q24.11	12q
KCTD10P1	9p21.1	9p
KCTD11	17p13.1	17p
KCTD12	13q22.3	13q
KCTD13	16p11.2	16p
KCTD14	11q14.1	11q
KCTD15	19q13.11	19q
KCTD16	5q31.3	5q
KCTD17	22q12.3	22q
KCTD18	2q33.1	2q
KCTD19	16q22.1	16q
KCTD20	6p21.31	6p
KCTD21	11q14.1	11q
KCTD21-AS1	11q14.1	11q
KDELC1P1	5q23.3	5q
KDELR1	19q13.33	19q
KDELR2	7p22.1	7p
KDELR3	22q13.1	22q
KDF1	1p36.11	1p
KDM1A	1p36.12	1p
KDM1B	6p22.3	6p
KDM2A	11q13.2	11q
KDM2B	12q24.31	12q
KDM2B-DT	12q24.31	12q
KDM3A	2p11.2	2p
KDM3AP1	2q32.2	2q
KDM3B	5q31.2	5q
KDM4A	1p34.2-p34.1	1p
KDM4A-AS1	1p34.2-p34.1	1p
KDM4B	19p13.3	19p
KDM4C	9p24.1	9p
KDM4D	11q21	11q
KDM4E	11q21	11q
KDM4F	11q21	11q
KDM5A	12p13.33	12p
KDM5B	1q32.1	1q
KDM6B	17p13.1	17p
KDM7A	7q34	7q
KDM7A-DT	7q34	7q
KDM8	16p12.1	16p
KDR	4q12	4q
